Flight Date,Airline,Airline IATA,Flight Number,Departure Airport,Departure IATA,Departure Scheduled,Departure Actual,Departure Delay,Arrival Airport,Arrival IATA,Arrival Scheduled,Arrival Actual,Arrival Delay,Flight Status,Aircraft,Departure Hour,Day of Week,Is Delayed,Route
2026-04-28,RwandAir,WB,1504.0,Doha International,DOH,2026-04-28 02:20:00+00:00,2026-04-28T02:45:00+00:00,25.0,Guangzhou Baiyun International,CAN,2026-04-28 15:30:00+00:00,2026-04-28T15:09:00+00:00,-21.0,landed,,2,Tuesday,False,DOH → CAN
2026-04-28,China Southern Airlines,CZ,710.0,Doha International,DOH,2026-04-28 02:20:00+00:00,2026-04-28T02:45:00+00:00,25.0,Guangzhou Baiyun International,CAN,2026-04-28 15:30:00+00:00,2026-04-28T15:09:00+00:00,-21.0,landed,,2,Tuesday,False,DOH → CAN
2026-04-28,American Airlines,AA,8229.0,Doha International,DOH,2026-04-28 02:20:00+00:00,2026-04-28T02:20:00+00:00,0.0,Suvarnabhumi International,BKK,2026-04-28 13:05:00+00:00,2026-04-28T13:05:00+00:00,0.0,,,2,Tuesday,False,DOH → BKK
2026-04-28,Azerbaijan Airlines,J2,6828.0,Doha International,DOH,2026-04-28 02:20:00+00:00,2026-04-28T02:20:00+00:00,0.0,Suvarnabhumi International,BKK,2026-04-28 13:05:00+00:00,2026-04-28T13:05:00+00:00,0.0,,,2,Tuesday,False,DOH → BKK
2026-04-28,British Airways,BA,4493.0,Doha International,DOH,2026-04-28 07:55:00+00:00,2026-04-28T07:55:00+00:00,0.0,Suvarnabhumi International,BKK,2026-04-28 18:20:00+00:00,2026-04-28T18:20:00+00:00,0.0,,,7,Tuesday,False,DOH → BKK
2026-04-28,RwandAir,WB,1625.0,Doha International,DOH,2026-04-28 02:20:00+00:00,2026-04-28T02:20:00+00:00,0.0,Suvarnabhumi International,BKK,2026-04-28 13:05:00+00:00,2026-04-28T13:05:00+00:00,0.0,,,2,Tuesday,False,DOH → BKK
2026-04-28,Iberia,IB,6252.0,Doha International,DOH,2026-04-28 02:20:00+00:00,2026-04-28T02:20:00+00:00,0.0,Suvarnabhumi International,BKK,2026-04-28 13:05:00+00:00,2026-04-28T13:05:00+00:00,0.0,,,2,Tuesday,False,DOH → BKK
2026-04-28,Iberia,IB,6341.0,Doha International,DOH,2026-04-28 02:20:00+00:00,2026-04-28T02:45:00+00:00,25.0,Guangzhou Baiyun International,CAN,2026-04-28 15:30:00+00:00,2026-04-28T15:09:00+00:00,-21.0,landed,,2,Tuesday,False,DOH → CAN
2026-04-28,British Airways,BA,7692.0,Doha International,DOH,2026-04-28 02:20:00+00:00,2026-04-28T02:45:00+00:00,25.0,Guangzhou Baiyun International,CAN,2026-04-28 15:30:00+00:00,2026-04-28T15:09:00+00:00,-21.0,landed,,2,Tuesday,False,DOH → CAN
2026-04-28,SriLankan Airlines,UL,3136.0,Doha International,DOH,2026-04-28 03:30:00+00:00,2026-04-28T03:44:00+00:00,14.0,Larnaca,LCA,2026-04-28 08:30:00+00:00,2026-04-28T06:39:00+00:00,-111.0,landed,,3,Tuesday,False,DOH → LCA
2026-04-28,Malaysia Airlines,MH,4161.0,Doha International,DOH,2026-04-28 03:30:00+00:00,2026-04-28T03:44:00+00:00,14.0,Larnaca,LCA,2026-04-28 08:30:00+00:00,2026-04-28T06:39:00+00:00,-111.0,landed,,3,Tuesday,False,DOH → LCA
2026-04-28,Royal Air Maroc,AT,5728.0,Doha International,DOH,2026-04-28 03:30:00+00:00,2026-04-28T03:44:00+00:00,14.0,Larnaca,LCA,2026-04-28 08:30:00+00:00,2026-04-28T06:39:00+00:00,-111.0,landed,,3,Tuesday,False,DOH → LCA
2026-04-28,RwandAir,WB,1102.0,Doha International,DOH,2026-04-28 03:30:00+00:00,2026-04-28T03:44:00+00:00,14.0,Larnaca,LCA,2026-04-28 08:30:00+00:00,2026-04-28T06:39:00+00:00,-111.0,landed,,3,Tuesday,False,DOH → LCA
2026-04-28,Virgin Australia,VA,6011.0,Doha International,DOH,2026-04-28 03:30:00+00:00,2026-04-28T03:44:00+00:00,14.0,Larnaca,LCA,2026-04-28 08:30:00+00:00,2026-04-28T06:39:00+00:00,-111.0,landed,,3,Tuesday,False,DOH → LCA
2026-04-28,Qatar Airways,QR,773.0,Doha International,DOH,2026-04-28 09:05:00+00:00,2026-04-28T09:33:00+00:00,28.0,Aeroporto Internacional Guarulhos,GRU,2026-04-28 18:45:00+00:00,2026-04-28T18:45:00+00:00,0.0,landed,,9,Tuesday,False,DOH → GRU
2026-04-28,Qatar Airways,QR,826.0,Doha International,DOH,2026-04-28 10:20:00+00:00,2026-04-28T10:20:00+00:00,0.0,Suvarnabhumi International,BKK,2026-04-28 20:45:00+00:00,2026-04-28T20:45:00+00:00,0.0,,,10,Tuesday,False,DOH → BKK
2026-04-28,Qatar Airways,QR,646.0,Doha International,DOH,2026-04-28 09:05:00+00:00,2026-04-28T09:12:00+00:00,7.0,Tribhuvan International,KTM,2026-04-28 16:45:00+00:00,2026-04-28T15:55:00+00:00,-50.0,landed,,9,Tuesday,False,DOH → KTM
2026-04-28,Qatar Airways,QR,954.0,Doha International,DOH,2026-04-28 09:00:00+00:00,2026-04-28T09:09:00+00:00,9.0,Soekarno-Hatta International,CGK,2026-04-28 21:40:00+00:00,2026-04-28T21:01:00+00:00,-39.0,landed,,9,Tuesday,False,DOH → CGK
2026-04-28,Qatar Airways,QR,1399.0,Doha International,DOH,2026-04-28 09:00:00+00:00,2026-04-28T09:22:00+00:00,22.0,Carthage,TUN,2026-04-28 14:05:00+00:00,2026-04-28T13:31:00+00:00,-34.0,landed,,9,Tuesday,False,DOH → TUN
2026-04-28,Qatar Airways,QR,848.0,Doha International,DOH,2026-04-28 09:00:00+00:00,2026-04-28T09:05:00+00:00,5.0,Kuala Lumpur International Airport (klia),KUL,2026-04-28 21:40:00+00:00,2026-04-28T20:46:00+00:00,-54.0,landed,,9,Tuesday,False,DOH → KUL
2026-04-28,Qatar Airways,QR,767.0,Doha International,DOH,2026-04-28 09:00:00+00:00,2026-04-28T09:29:00+00:00,29.0,Lester B. Pearson International,YYZ,2026-04-28 17:00:00+00:00,2026-04-28T16:02:00+00:00,-58.0,landed,,9,Tuesday,False,DOH → YYZ
2026-04-28,Qatar Airways,QR,701.0,Doha International,DOH,2026-04-28 09:00:00+00:00,2026-04-28T09:42:00+00:00,42.0,John F Kennedy International,JFK,2026-04-28 16:40:00+00:00,2026-04-28T16:11:00+00:00,-29.0,landed,,9,Tuesday,False,DOH → JFK
2026-04-28,Qatar Airways,QR,1038.0,Doha International,DOH,2026-04-28 08:55:00+00:00,2026-04-28T09:29:00+00:00,12.0,Sharjah,SHJ,2026-04-28 11:10:00+00:00,2026-04-28T11:22:00+00:00,12.0,landed,,8,Tuesday,False,DOH → SHJ
2026-04-28,RwandAir,WB,303.0,Doha International,DOH,2026-04-28 08:45:00+00:00,2026-04-28T08:45:00+00:00,0.0,Kigali International,KGL,2026-04-28 13:45:00+00:00,2026-04-28T13:45:00+00:00,0.0,scheduled,,8,Tuesday,False,DOH → KGL
2026-04-28,Qatar Airways,QR,777.0,Doha International,DOH,2026-04-28 08:35:00+00:00,2026-04-28T09:17:00+00:00,42.0,Miami International Airport,MIA,2026-04-28 18:10:00+00:00,2026-04-28T17:35:00+00:00,-35.0,landed,,8,Tuesday,False,DOH → MIA
2026-04-28,Qatar Airways,QR,81.0,Doha International,DOH,2026-04-28 08:30:00+00:00,2026-04-28T09:03:00+00:00,33.0,Berlin Brandenburg Airport,BER,2026-04-28 15:15:00+00:00,2026-04-28T14:20:00+00:00,-55.0,landed,,8,Tuesday,False,DOH → BER
2026-04-28,Qatar Airways,QR,17.0,Doha International,DOH,2026-04-28 08:30:00+00:00,2026-04-28T09:07:00+00:00,37.0,Dublin International,DUB,2026-04-28 15:25:00+00:00,2026-04-28T14:51:00+00:00,-34.0,landed,,8,Tuesday,False,DOH → DUB
2026-04-28,Qatar Airways,QR,131.0,Doha International,DOH,2026-04-28 08:25:00+00:00,2026-04-28T08:50:00+00:00,25.0,Leonardo Da Vinci (Fiumicino),FCO,2026-04-28 14:15:00+00:00,2026-04-28T13:29:00+00:00,-46.0,landed,,8,Tuesday,False,DOH → FCO
2026-04-28,Qatar Airways,QR,402.0,Doha International,DOH,2026-04-28 08:20:00+00:00,2026-04-28T09:11:00+00:00,9.0,Queen Alia International,AMM,2026-04-28 12:05:00+00:00,2026-04-28T12:14:00+00:00,9.0,landed,,8,Tuesday,False,DOH → AMM
2026-04-28,Qatar Airways,QR,127.0,Doha International,DOH,2026-04-28 08:20:00+00:00,2026-04-28T08:58:00+00:00,38.0,Milano Malpensa,MXP,2026-04-28 14:45:00+00:00,2026-04-28T14:09:00+00:00,-36.0,landed,,8,Tuesday,False,DOH → MXP
2026-04-28,Qatar Airways,QR,928.0,Doha International,DOH,2026-04-28 08:15:00+00:00,2026-04-28T08:20:00+00:00,5.0,Ninoy Aquino International,MNL,2026-04-28 22:20:00+00:00,2026-04-28T21:29:00+00:00,-51.0,landed,,8,Tuesday,False,DOH → MNL
2026-04-28,Qatar Airways,QR,1451.0,Doha International,DOH,2026-04-28 08:15:00+00:00,2026-04-28T08:28:00+00:00,13.0,Lusaka,LUN,2026-04-28 14:25:00+00:00,2026-04-28T14:18:00+00:00,-7.0,landed,,8,Tuesday,False,DOH → LUN
2026-04-28,Qatar Airways,QR,1170.0,Doha International,DOH,2026-04-28 10:30:00+00:00,2026-04-28T10:40:00+00:00,10.0,King Khaled International,RUH,2026-04-28 12:30:00+00:00,2026-04-28T12:30:00+00:00,0.0,,,10,Tuesday,False,DOH → RUH
2026-04-28,Qatar Airways,QR,141.0,Doha International,DOH,2026-04-28 08:10:00+00:00,2026-04-28T08:54:00+00:00,44.0,El Prat De Llobregat,BCN,2026-04-28 15:05:00+00:00,2026-04-28T14:28:00+00:00,-37.0,landed,,8,Tuesday,False,DOH → BCN
2026-04-28,Virgin Australia,VA,6159.0,Doha International,DOH,2026-04-28 02:05:00+00:00,2026-04-28T02:20:00+00:00,15.0,Franz Josef Strauss,MUC,2026-04-28 08:30:00+00:00,2026-04-28T07:10:00+00:00,-80.0,landed,,2,Tuesday,False,DOH → MUC
2026-04-28,SriLankan Airlines,UL,3594.0,Doha International,DOH,2026-04-28 02:05:00+00:00,2026-04-28T02:20:00+00:00,15.0,Franz Josef Strauss,MUC,2026-04-28 08:30:00+00:00,2026-04-28T07:10:00+00:00,-80.0,landed,,2,Tuesday,False,DOH → MUC
2026-04-28,China Southern Airlines,CZ,726.0,Doha International,DOH,2026-04-28 02:05:00+00:00,2026-04-28T02:20:00+00:00,15.0,Franz Josef Strauss,MUC,2026-04-28 08:30:00+00:00,2026-04-28T07:10:00+00:00,-80.0,landed,,2,Tuesday,False,DOH → MUC
2026-04-28,Malaysia Airlines,MH,9221.0,Doha International,DOH,2026-04-28 02:05:00+00:00,2026-04-28T02:20:00+00:00,15.0,Franz Josef Strauss,MUC,2026-04-28 08:30:00+00:00,2026-04-28T07:10:00+00:00,-80.0,landed,,2,Tuesday,False,DOH → MUC
2026-04-28,Iberia,IB,6142.0,Doha International,DOH,2026-04-28 02:05:00+00:00,2026-04-28T02:20:00+00:00,15.0,Franz Josef Strauss,MUC,2026-04-28 08:30:00+00:00,2026-04-28T07:10:00+00:00,-80.0,landed,,2,Tuesday,False,DOH → MUC
2026-04-28,Asiana Airlines,OZ,6888.0,Doha International,DOH,2026-04-28 02:00:00+00:00,2026-04-28T02:00:00+00:00,0.0,Seoul (Incheon),ICN,2026-04-28 17:30:00+00:00,2026-04-28T17:30:00+00:00,0.0,,,2,Tuesday,False,DOH → ICN
2026-04-28,LATAM Airlines,LA,6036.0,Doha International,DOH,2026-04-28 02:00:00+00:00,2026-04-28T02:00:00+00:00,0.0,Seoul (Incheon),ICN,2026-04-28 17:30:00+00:00,2026-04-28T17:30:00+00:00,0.0,,,2,Tuesday,False,DOH → ICN
2026-04-28,Iberia,IB,6416.0,Doha International,DOH,2026-04-28 02:00:00+00:00,2026-04-28T02:00:00+00:00,0.0,Seoul (Incheon),ICN,2026-04-28 17:30:00+00:00,2026-04-28T17:30:00+00:00,0.0,,,2,Tuesday,False,DOH → ICN
2026-04-28,British Airways,BA,2292.0,Doha International,DOH,2026-04-28 02:00:00+00:00,2026-04-28T02:00:00+00:00,0.0,Seoul (Incheon),ICN,2026-04-28 17:30:00+00:00,2026-04-28T17:30:00+00:00,0.0,,,2,Tuesday,False,DOH → ICN
2026-04-28,Royal Air Maroc,AT,5714.0,Doha International,DOH,2026-04-28 02:00:00+00:00,2026-04-28T02:00:00+00:00,0.0,Seoul (Incheon),ICN,2026-04-28 17:30:00+00:00,2026-04-28T17:30:00+00:00,0.0,,,2,Tuesday,False,DOH → ICN
2026-04-28,AirSERBIA,JU,8327.0,Doha International,DOH,2026-04-28 02:00:00+00:00,2026-04-28T02:00:00+00:00,0.0,Seoul (Incheon),ICN,2026-04-28 17:30:00+00:00,2026-04-28T17:30:00+00:00,0.0,,,2,Tuesday,False,DOH → ICN
2026-04-28,RwandAir,WB,1569.0,Doha International,DOH,2026-04-28 02:00:00+00:00,2026-04-28T02:00:00+00:00,0.0,Seoul (Incheon),ICN,2026-04-28 17:30:00+00:00,2026-04-28T17:30:00+00:00,0.0,,,2,Tuesday,False,DOH → ICN
2026-04-28,Virgin Australia,VA,6195.0,Doha International,DOH,2026-04-28 02:00:00+00:00,2026-04-28T02:15:00+00:00,15.0,Berlin Brandenburg Airport,BER,2026-04-28 08:45:00+00:00,2026-04-28T07:09:00+00:00,-96.0,landed,,2,Tuesday,False,DOH → BER
2026-04-28,SriLankan Airlines,UL,3017.0,Doha International,DOH,2026-04-28 02:00:00+00:00,2026-04-28T02:15:00+00:00,15.0,Berlin Brandenburg Airport,BER,2026-04-28 08:45:00+00:00,2026-04-28T07:09:00+00:00,-96.0,landed,,2,Tuesday,False,DOH → BER
2026-04-28,Malaysia Airlines,MH,9261.0,Doha International,DOH,2026-04-28 02:00:00+00:00,2026-04-28T02:15:00+00:00,15.0,Berlin Brandenburg Airport,BER,2026-04-28 08:45:00+00:00,2026-04-28T07:09:00+00:00,-96.0,landed,,2,Tuesday,False,DOH → BER
2026-04-28,Iberia,IB,6386.0,Doha International,DOH,2026-04-28 02:00:00+00:00,2026-04-28T02:15:00+00:00,15.0,Berlin Brandenburg Airport,BER,2026-04-28 08:45:00+00:00,2026-04-28T07:09:00+00:00,-96.0,landed,,2,Tuesday,False,DOH → BER
2026-04-28,Bulgaria Air,FB,1926.0,Doha International,DOH,2026-04-28 02:00:00+00:00,2026-04-28T02:15:00+00:00,15.0,Berlin Brandenburg Airport,BER,2026-04-28 08:45:00+00:00,2026-04-28T07:09:00+00:00,-96.0,landed,,2,Tuesday,False,DOH → BER
2026-04-28,Iberia,IB,6290.0,Doha International,DOH,2026-04-28 01:55:00+00:00,2026-04-28T02:49:00+00:00,54.0,Tan Son Nhat International,SGN,2026-04-28 13:50:00+00:00,2026-04-28T13:17:00+00:00,-33.0,landed,,1,Tuesday,False,DOH → SGN
2026-04-28,LATAM Airlines,LA,5296.0,Doha International,DOH,2026-04-28 01:55:00+00:00,2026-04-28T02:49:00+00:00,54.0,Tan Son Nhat International,SGN,2026-04-28 13:50:00+00:00,2026-04-28T13:17:00+00:00,-33.0,landed,,1,Tuesday,False,DOH → SGN
2026-04-28,Finnair,AY,6673.0,Doha International,DOH,2026-04-28 01:55:00+00:00,2026-04-28T02:49:00+00:00,54.0,Tan Son Nhat International,SGN,2026-04-28 13:50:00+00:00,2026-04-28T13:17:00+00:00,-33.0,landed,,1,Tuesday,False,DOH → SGN
2026-04-28,AirSERBIA,JU,8346.0,Doha International,DOH,2026-04-28 01:55:00+00:00,2026-04-28T02:49:00+00:00,54.0,Tan Son Nhat International,SGN,2026-04-28 13:50:00+00:00,2026-04-28T13:17:00+00:00,-33.0,landed,,1,Tuesday,False,DOH → SGN
2026-04-28,American Airlines,AA,8259.0,Doha International,DOH,2026-04-28 01:55:00+00:00,2026-04-28T02:49:00+00:00,54.0,Tan Son Nhat International,SGN,2026-04-28 13:50:00+00:00,2026-04-28T13:17:00+00:00,-33.0,landed,,1,Tuesday,False,DOH → SGN
2026-04-28,British Airways,BA,2353.0,Doha International,DOH,2026-04-28 01:55:00+00:00,2026-04-28T02:49:00+00:00,54.0,Tan Son Nhat International,SGN,2026-04-28 13:50:00+00:00,2026-04-28T13:17:00+00:00,-33.0,landed,,1,Tuesday,False,DOH → SGN
2026-04-28,RwandAir,WB,1516.0,Doha International,DOH,2026-04-28 01:55:00+00:00,2026-04-28T02:49:00+00:00,54.0,Tan Son Nhat International,SGN,2026-04-28 13:50:00+00:00,2026-04-28T13:17:00+00:00,-33.0,landed,,1,Tuesday,False,DOH → SGN
2026-04-28,Royal Air Maroc,AT,5722.0,Doha International,DOH,2026-04-28 01:55:00+00:00,2026-04-28T02:49:00+00:00,54.0,Tan Son Nhat International,SGN,2026-04-28 13:50:00+00:00,2026-04-28T13:17:00+00:00,-33.0,landed,,1,Tuesday,False,DOH → SGN
2026-04-28,LATAM Airlines,LA,6038.0,Doha International,DOH,2026-04-28 04:15:00+00:00,2026-04-28T04:09:00+00:00,-6.0,Hong Kong International,HKG,2026-04-28 16:45:00+00:00,2026-04-28T16:23:00+00:00,-22.0,landed,,4,Tuesday,False,DOH → HKG
2026-04-28,AirSERBIA,JU,8319.0,Doha International,DOH,2026-04-28 04:15:00+00:00,2026-04-28T04:09:00+00:00,-6.0,Hong Kong International,HKG,2026-04-28 16:45:00+00:00,2026-04-28T16:23:00+00:00,-22.0,landed,,4,Tuesday,False,DOH → HKG
2026-04-28,Qatar Airways,QR,8249.0,Doha International,DOH,2026-04-28 01:55:00+00:00,2026-04-28T01:55:00+00:00,0.0,Charles De Gaulle,CDG,2026-04-28 09:10:00+00:00,2026-04-28T09:10:00+00:00,0.0,,,1,Tuesday,False,DOH → CDG
2026-04-28,Iberia,IB,6247.0,Doha International,DOH,2026-04-28 04:15:00+00:00,2026-04-28T04:09:00+00:00,-6.0,Hong Kong International,HKG,2026-04-28 16:45:00+00:00,2026-04-28T16:23:00+00:00,-22.0,landed,,4,Tuesday,False,DOH → HKG
2026-04-28,British Airways,BA,2355.0,Doha International,DOH,2026-04-28 04:15:00+00:00,2026-04-28T04:09:00+00:00,-6.0,Hong Kong International,HKG,2026-04-28 16:45:00+00:00,2026-04-28T16:23:00+00:00,-22.0,landed,,4,Tuesday,False,DOH → HKG
2026-04-28,American Airlines,AA,8201.0,Doha International,DOH,2026-04-28 03:50:00+00:00,2026-04-28T01:59:00+00:00,-111.0,Jomo Kenyatta International,NBO,2026-04-28 09:00:00+00:00,2026-04-28T06:48:00+00:00,-132.0,landed,,3,Tuesday,False,DOH → NBO
2026-04-28,RwandAir,WB,1131.0,Doha International,DOH,2026-04-28 03:50:00+00:00,2026-04-28T01:59:00+00:00,-111.0,Jomo Kenyatta International,NBO,2026-04-28 09:00:00+00:00,2026-04-28T06:48:00+00:00,-132.0,landed,,3,Tuesday,False,DOH → NBO
2026-04-28,Oman Air,WY,6596.0,Doha International,DOH,2026-04-28 03:50:00+00:00,2026-04-28T01:59:00+00:00,-111.0,Jomo Kenyatta International,NBO,2026-04-28 09:00:00+00:00,2026-04-28T06:48:00+00:00,-132.0,landed,,3,Tuesday,False,DOH → NBO
2026-04-28,British Airways,BA,2312.0,Doha International,DOH,2026-04-28 03:50:00+00:00,2026-04-28T01:59:00+00:00,-111.0,Jomo Kenyatta International,NBO,2026-04-28 09:00:00+00:00,2026-04-28T06:48:00+00:00,-132.0,landed,,3,Tuesday,False,DOH → NBO
2026-04-28,Iberia,IB,6299.0,Doha International,DOH,2026-04-28 03:50:00+00:00,2026-04-28T01:59:00+00:00,-111.0,Jomo Kenyatta International,NBO,2026-04-28 09:00:00+00:00,2026-04-28T06:48:00+00:00,-132.0,landed,,3,Tuesday,False,DOH → NBO
2026-04-28,Japan Airlines,JL,5583.0,Doha International,DOH,2026-04-28 03:50:00+00:00,2026-04-28T01:59:00+00:00,-111.0,Jomo Kenyatta International,NBO,2026-04-28 09:00:00+00:00,2026-04-28T06:48:00+00:00,-132.0,landed,,3,Tuesday,False,DOH → NBO
2026-04-28,AirSERBIA,JU,8350.0,Doha International,DOH,2026-04-28 03:50:00+00:00,2026-04-28T01:59:00+00:00,-111.0,Jomo Kenyatta International,NBO,2026-04-28 09:00:00+00:00,2026-04-28T06:48:00+00:00,-132.0,landed,,3,Tuesday,False,DOH → NBO
2026-04-28,Virgin Australia,VA,6097.0,Doha International,DOH,2026-04-28 03:50:00+00:00,2026-04-28T01:59:00+00:00,-111.0,Jomo Kenyatta International,NBO,2026-04-28 09:00:00+00:00,2026-04-28T06:48:00+00:00,-132.0,landed,,3,Tuesday,False,DOH → NBO
2026-04-28,Finnair,AY,6033.0,Doha International,DOH,2026-04-28 03:50:00+00:00,2026-04-28T01:59:00+00:00,-111.0,Jomo Kenyatta International,NBO,2026-04-28 09:00:00+00:00,2026-04-28T06:48:00+00:00,-132.0,landed,,3,Tuesday,False,DOH → NBO
2026-04-28,Royal Air Maroc,AT,5751.0,Doha International,DOH,2026-04-28 03:50:00+00:00,2026-04-28T01:59:00+00:00,-111.0,Jomo Kenyatta International,NBO,2026-04-28 09:00:00+00:00,2026-04-28T06:48:00+00:00,-132.0,landed,,3,Tuesday,False,DOH → NBO
