Flight Date,Airline,Airline IATA,Flight Number,Departure Airport,Departure IATA,Departure Scheduled,Departure Actual,Departure Delay,Arrival Airport,Arrival IATA,Arrival Scheduled,Arrival Actual,Arrival Delay,Flight Status,Aircraft,Departure Hour,Day of Week,Is Delayed,Route
2026-04-28,Turkish Airlines,TK,417,Istanbul Airport,IST,2026-04-28T09:40:00+00:00,2026-04-28T09:51:00+00:00,,Vnukovo,VKO,2026-04-28T13:35:00+00:00,2026-04-28T13:22:00+00:00,,landed,,9,Tuesday,False,IST → VKO
2026-04-28,Azimuth,A4,3070,Istanbul Airport,IST,2026-04-28T09:35:00+00:00,,,Pashkovsky,KRR,2026-04-28T12:05:00+00:00,,,scheduled,,9,Tuesday,False,IST → KRR
2026-04-28,SKY express,GQ,671,Istanbul Airport,IST,2026-04-28T09:30:00+00:00,2026-04-28T09:53:00+00:00,,"Athens International Airport ""Eleftherios Venizelos""",ATH,2026-04-28T10:55:00+00:00,2026-04-28T10:50:00+00:00,,landed,,9,Tuesday,False,IST → ATH
2026-04-28,Egyptair,MS,9681,Istanbul Airport,IST,2026-04-28T07:30:00+00:00,2026-04-28T07:40:00+00:00,,Brnik,LJU,2026-04-28T08:45:00+00:00,2026-04-28T08:36:00+00:00,,landed,,7,Tuesday,False,IST → LJU
2026-04-28,Turkish Airlines,TK,6446,Istanbul Airport,IST,2026-04-28T07:30:00+00:00,,,Erbil International (irbil Northwest),EBL,2026-04-28T10:00:00+00:00,,,scheduled,,7,Tuesday,False,IST → EBL
2026-04-28,Croatia Airlines,OU,5357,Istanbul Airport,IST,2026-04-28T07:25:00+00:00,2026-04-28T07:49:00+00:00,,Dubrovnik,DBV,2026-04-28T08:20:00+00:00,2026-04-28T08:16:00+00:00,,landed,,7,Tuesday,False,IST → DBV
2026-04-28,AirSERBIA,JU,8002,Istanbul Airport,IST,2026-04-28T07:45:00+00:00,2026-04-28T08:02:00+00:00,,Belgrade Nikola Tesla,BEG,2026-04-28T08:25:00+00:00,2026-04-28T08:22:00+00:00,,landed,,7,Tuesday,False,IST → BEG
2026-04-28,IndiGo,6E,4341,Istanbul Airport,IST,2026-04-28T07:45:00+00:00,2026-04-28T08:02:00+00:00,,Belgrade Nikola Tesla,BEG,2026-04-28T08:25:00+00:00,2026-04-28T08:22:00+00:00,,landed,,7,Tuesday,False,IST → BEG
2026-04-28,Thai Airways,TG,7567,Istanbul Airport,IST,2026-04-28T08:25:00+00:00,2026-04-28T08:41:00+00:00,,Antalya,AYT,2026-04-28T09:50:00+00:00,2026-04-28T09:38:00+00:00,,landed,,8,Tuesday,False,IST → AYT
2026-04-28,All Nippon Airways,NH,9679,Istanbul Airport,IST,2026-04-28T17:45:00+00:00,2026-04-28T17:59:00+00:00,,Antalya,AYT,2026-04-28T19:10:00+00:00,2026-04-28T19:00:00+00:00,,landed,,17,Tuesday,False,IST → AYT
2026-04-28,AirSERBIA,JU,8085,Istanbul Airport,IST,2026-04-28T08:25:00+00:00,2026-04-28T08:41:00+00:00,,Antalya,AYT,2026-04-28T09:50:00+00:00,2026-04-28T09:38:00+00:00,,landed,,8,Tuesday,False,IST → AYT
2026-04-28,Singapore Airlines,SQ,6222,Istanbul Airport,IST,2026-04-28T08:20:00+00:00,2026-04-28T08:31:00+00:00,,Gaziantep,GZT,2026-04-28T10:05:00+00:00,2026-04-28T09:57:00+00:00,,landed,,8,Tuesday,False,IST → GZT
2026-04-28,Interjet,4O,4405,Istanbul Airport,IST,2026-04-28T07:50:00+00:00,2026-04-28T08:04:00+00:00,,Golubovci,TGD,2026-04-28T08:40:00+00:00,2026-04-28T08:27:00+00:00,,landed,,7,Tuesday,False,IST → TGD
2026-04-28,JetBlue,B6,6940,Istanbul Airport,IST,2026-04-28T08:25:00+00:00,2026-04-28T08:37:00+00:00,,Cukurova International Airport,COV,2026-04-28T10:05:00+00:00,2026-04-28T09:51:00+00:00,,landed,,8,Tuesday,False,IST → COV
2026-04-28,Singapore Airlines,SQ,6280,Istanbul Airport,IST,2026-04-28T08:25:00+00:00,2026-04-28T08:37:00+00:00,,Cukurova International Airport,COV,2026-04-28T10:05:00+00:00,2026-04-28T09:51:00+00:00,,landed,,8,Tuesday,False,IST → COV
2026-04-28,AirSERBIA,JU,8010,Istanbul Airport,IST,2026-04-28T08:25:00+00:00,2026-04-28T08:37:00+00:00,,Cukurova International Airport,COV,2026-04-28T10:05:00+00:00,2026-04-28T09:51:00+00:00,,landed,,8,Tuesday,False,IST → COV
2026-04-28,Turkish Airlines,TK,6497,Istanbul Airport,IST,2026-04-28T05:50:00+00:00,,,Maastricht/aachen,MST,2026-04-28T08:25:00+00:00,,,scheduled,,5,Tuesday,False,IST → MST
2026-04-28,Buraq Air,UZ,503,Istanbul Airport,IST,2026-04-28T02:00:00+00:00,2026-04-28T02:53:00+00:00,38.0,Mitiga,MJI,2026-04-28T04:35:00+00:00,,38.0,scheduled,,2,Tuesday,True,IST → MJI
2026-04-28,Thai Airways,TG,9136,Istanbul Airport,IST,2026-04-28T07:25:00+00:00,2026-04-28T07:52:00+00:00,,"Athens International Airport ""Eleftherios Venizelos""",ATH,2026-04-28T08:55:00+00:00,2026-04-28T08:51:00+00:00,,landed,,7,Tuesday,False,IST → ATH
2026-04-28,Pakistan International Airlines,PK,5843,Istanbul Airport,IST,2026-04-28T07:25:00+00:00,2026-04-28T07:52:00+00:00,,"Athens International Airport ""Eleftherios Venizelos""",ATH,2026-04-28T08:55:00+00:00,2026-04-28T08:51:00+00:00,,landed,,7,Tuesday,False,IST → ATH
2026-04-28,Air Algerie,AH,3972,Istanbul Airport,IST,2026-04-28T07:25:00+00:00,2026-04-28T07:52:00+00:00,,"Athens International Airport ""Eleftherios Venizelos""",ATH,2026-04-28T08:55:00+00:00,2026-04-28T08:51:00+00:00,,landed,,7,Tuesday,False,IST → ATH
2026-04-28,Aegean Airlines,A3,3155,Istanbul Airport,IST,2026-04-28T07:25:00+00:00,2026-04-28T07:52:00+00:00,,"Athens International Airport ""Eleftherios Venizelos""",ATH,2026-04-28T08:55:00+00:00,2026-04-28T08:51:00+00:00,,landed,,7,Tuesday,False,IST → ATH
2026-04-28,IndiGo,6E,4195,Istanbul Airport,IST,2026-04-28T07:25:00+00:00,2026-04-28T07:52:00+00:00,,"Athens International Airport ""Eleftherios Venizelos""",ATH,2026-04-28T08:55:00+00:00,2026-04-28T08:51:00+00:00,,landed,,7,Tuesday,False,IST → ATH
2026-04-28,Sichuan Airlines,3U,7223,Istanbul Airport,IST,2026-04-28T07:25:00+00:00,2026-04-28T07:52:00+00:00,,"Athens International Airport ""Eleftherios Venizelos""",ATH,2026-04-28T08:55:00+00:00,2026-04-28T08:51:00+00:00,,landed,,7,Tuesday,False,IST → ATH
2026-04-28,VistaJet,,850,Istanbul Airport,IST,2026-04-28T09:00:00+00:00,2026-04-28T09:46:00+00:00,50.0,Faro,FAO,2026-04-28T11:33:00+00:00,,49.0,scheduled,,9,Tuesday,True,IST → FAO
