iata_code,date,temp_max,temp_min,precipitation,wind_speed
DEN,2023-01-07,1.9,-8.5,0.0,16.5
DEN,2023-01-08,3.4,-6.6,0.0,18.2
DEN,2023-01-09,4.4,-6.2,0.0,18.4
DEN,2023-01-10,6.4,-2.1,0.0,18.1
MIA,2023-01-01,26.5,19.6,1.6,11.2
MIA,2023-01-02,26.9,19.2,0.0,15.5
MIA,2023-01-03,26.8,22.1,0.3,19.4
MIA,2023-01-04,26.8,22.2,1.0,20.4
MIA,2023-01-05,28.3,19.9,0.0,15.1
MIA,2023-01-06,24.0,16.6,0.0,17.7
MIA,2023-01-07,24.5,13.9,0.0,15.8
MIA,2023-01-08,25.2,16.4,0.0,12.0
MIA,2023-01-09,26.0,16.5,0.3,19.5
MIA,2023-01-10,26.1,14.6,0.0,12.6
IAD,2023-01-01,15.6,5.6,0.0,12.9
IAD,2023-01-02,18.0,4.8,0.0,12.2
IAD,2023-01-03,17.8,10.9,1.3,22.4
IAD,2023-01-04,17.8,12.9,3.3,20.6
IAD,2023-01-05,16.1,7.7,1.8,16.3
IAD,2023-01-06,9.3,3.9,0.0,20.8
IAD,2023-01-07,8.4,-0.2,0.0,15.3
IAD,2023-01-08,5.8,-2.8,0.6,11.8
IAD,2023-01-09,7.8,0.4,0.1,16.6
IAD,2023-01-10,7.8,-1.8,0.0,12.6
SEA,2023-01-01,7.2,1.5,0.2,8.4
SEA,2023-01-02,6.6,-0.2,0.0,20.3
SEA,2023-01-03,8.0,2.1,1.4,17.1
SEA,2023-01-04,7.2,2.7,1.6,35.2
SEA,2023-01-05,11.2,7.3,2.0,33.0
SEA,2023-01-06,11.1,2.8,4.3,24.1
SEA,2023-01-07,7.9,5.4,6.7,15.0
SEA,2023-01-08,8.1,5.1,6.8,25.2
SEA,2023-01-09,11.8,3.8,7.6,33.2
SEA,2023-01-10,10.8,4.8,0.0,17.9
BOS,2023-01-01,11.2,4.4,6.7,25.6
BOS,2023-01-02,9.5,1.4,0.0,13.7
BOS,2023-01-03,7.0,-0.6,8.8,9.9
BOS,2023-01-04,8.1,3.7,7.1,14.0
BOS,2023-01-05,6.7,2.9,5.6,24.3
BOS,2023-01-06,4.0,1.0,7.2,17.8
BOS,2023-01-07,6.6,0.2,0.0,16.8
BOS,2023-01-08,2.5,-4.7,0.0,21.0
BOS,2023-01-09,5.9,-2.5,0.1,16.3
BOS,2023-01-10,4.4,-1.9,0.0,19.2
LGW,2023-01-01,11.4,8.2,4.8,39.5
LGW,2023-01-02,8.1,1.0,0.8,14.8
LGW,2023-01-03,11.6,3.0,8.3,37.1
LGW,2023-01-04,12.2,9.6,2.0,37.3
LGW,2023-01-05,11.7,7.8,0.7,28.7
LGW,2023-01-06,11.2,5.4,3.8,33.9
LGW,2023-01-07,10.9,7.3,8.0,37.5
LGW,2023-01-08,8.4,4.8,6.1,30.1
LGW,2023-01-09,7.7,4.3,0.6,27.1
LGW,2023-01-10,11.6,2.6,9.2,37.4
IAH,2023-01-01,25.9,14.5,0.7,20.1
IAH,2023-01-02,23.4,20.0,45.4,27.9
IAH,2023-01-03,24.2,13.8,9.7,22.6
IAH,2023-01-04,19.6,10.2,0.0,14.0
IAH,2023-01-05,20.0,8.0,0.0,10.9
IAH,2023-01-06,24.2,9.6,0.0,20.2
IAH,2023-01-07,24.5,15.1,7.1,14.9
IAH,2023-01-08,19.8,11.4,6.9,19.4
IAH,2023-01-09,18.8,9.3,0.0,11.2
IAH,2023-01-10,22.2,11.3,0.2,16.8
DTW,2023-01-01,7.6,-2.8,1.9,17.0
DTW,2023-01-02,8.9,1.8,0.0,9.9
DTW,2023-01-03,7.8,3.5,7.4,16.1
DTW,2023-01-04,13.9,3.3,6.9,20.9
DTW,2023-01-05,5.1,0.4,1.2,18.6
DTW,2023-01-06,4.1,-0.3,0.4,17.4
DTW,2023-01-07,2.6,-2.8,0.1,12.0
DTW,2023-01-08,1.7,-5.1,0.0,7.1
DTW,2023-01-09,4.2,-5.0,0.0,18.1
DTW,2023-01-10,4.8,-3.7,0.0,10.2
YYZ,2023-01-01,3.6,1.5,1.6,11.8
YYZ,2023-01-02,6.0,-0.1,0.0,12.5
YYZ,2023-01-03,4.3,-1.6,5.4,14.2
YYZ,2023-01-04,3.2,1.8,20.8,17.1
YYZ,2023-01-05,4.2,1.9,0.8,20.4
YYZ,2023-01-06,4.9,-0.6,0.1,17.9
YYZ,2023-01-07,2.0,-5.8,0.2,16.2
YYZ,2023-01-08,-0.6,-6.8,0.0,10.6
YYZ,2023-01-09,3.7,-5.9,0.0,22.3
YYZ,2023-01-10,0.9,-3.0,0.0,13.6
MUC,2023-01-01,15.6,4.7,0.0,13.4
MUC,2023-01-02,11.9,3.6,0.0,12.4
MUC,2023-01-03,9.2,1.1,1.1,10.9
MUC,2023-01-04,9.7,-0.1,0.2,29.3
MUC,2023-01-05,10.1,6.1,2.2,31.9
MUC,2023-01-06,10.1,4.8,0.0,16.7
MUC,2023-01-07,9.5,0.9,0.0,10.2
MUC,2023-01-08,6.1,-1.7,0.5,10.5
MUC,2023-01-09,6.5,1.9,1.6,24.7
MUC,2023-01-10,4.9,-0.5,2.0,22.1
BCN,2023-01-01,15.4,6.8,0.0,8.8
BCN,2023-01-02,15.4,8.1,0.0,10.5
